Time,Data
Fri Sep 15 08:35:19 2023
,0.0464258
Fri Sep 15 08:35:19 2023
,0.0290161
Fri Sep 15 08:35:19 2023
,-0.00274889
Fri Sep 15 08:35:19 2023
,0.044144
Fri Sep 15 08:35:19 2023
,0.0399398
Fri Sep 15 08:35:19 2023
,-0.00330329
Fri Sep 15 08:35:20 2023
,0.0475457
Fri Sep 15 08:35:20 2023
,0.0447105
Fri Sep 15 08:35:20 2023
,-0.00285411
Fri Sep 15 08:35:20 2023
,0.0429976
Fri Sep 15 08:35:20 2023
,0.0292264
Fri Sep 15 08:35:20 2023
,-0.000581837
Fri Sep 15 08:35:20 2023
,0.0440768
Fri Sep 15 08:35:20 2023
,0.0284349
Fri Sep 15 08:35:20 2023
,-0.000572058
Fri Sep 15 08:35:20 2023
,0.0385312
Fri Sep 15 08:35:20 2023
,0.0201493
Fri Sep 15 08:35:20 2023
,-0.00146334
Fri Sep 15 08:35:20 2023
,0.0396854
Fri Sep 15 08:35:20 2023
,0.0201109
Fri Sep 15 08:35:20 2023
,0.000963647
Fri Sep 15 08:35:20 2023
,0.0402196
Fri Sep 15 08:35:20 2023
,0.0134666
Fri Sep 15 08:35:20 2023
,0.000947451
Fri Sep 15 08:35:21 2023
,0.0395437
Fri Sep 15 08:35:21 2023
,0.0252523
Fri Sep 15 08:35:21 2023
,3.06298e-05
Fri Sep 15 08:35:21 2023
,0.0343746
Fri Sep 15 08:35:21 2023
,0.0290321
Fri Sep 15 08:35:21 2023
,-0.00117108
Fri Sep 15 08:35:21 2023
,0.0383013
Fri Sep 15 08:35:21 2023
,0.0300456
Fri Sep 15 08:35:21 2023
,-0.0026529
Fri Sep 15 08:35:22 2023
,0.0358558
Fri Sep 15 08:35:22 2023
,0.0247359
Fri Sep 15 08:35:22 2023
,-0.00170741
Fri Sep 15 08:35:22 2023
,0.0343523
Fri Sep 15 08:35:22 2023
,0.0318276
Fri Sep 15 08:35:22 2023
,-0.00167872
Fri Sep 15 08:47:06 2023
,0.0498497,0.035135,-0.0012012
Fri Sep 15 08:47:06 2023
,0.0484113,0.0405505,-0.0032831
Fri Sep 15 08:47:06 2023
,0.0432677,0.0304137,-0.00296882
Fri Sep 15 08:47:06 2023
,1.77965e-43,-2459.77,0
Fri Sep 15 08:47:06 2023
,0.038314,0.0281991,-0.00179492
Fri Sep 15 08:47:07 2023
,0.0341706,0.0313516,-0.00244072
Fri Sep 15 08:47:07 2023
,0.0306159,0.0253317,-0.00136622
Fri Sep 15 08:47:07 2023
,0.0273986,0.0228038,-0.000442365
Fri Sep 15 08:47:08 2023
,1.77965e-43,-2459.77,0
Fri Sep 15 08:47:08 2023
,0.02874,0.0251233,-0.00163613
Fri Sep 15 08:47:08 2023
,0.0282569,0.0204968,-0.00190893
Fri Sep 15 08:47:09 2023
,0.0271814,0.0237559,-0.00127625
Fri Sep 15 08:47:09 2023
,0.0270249,0.0215549,-0.000954498
Fri Sep 15 08:48:08 2023
,0.0516181,0.0390954,-0.00244346
Fri Sep 15 08:48:09 2023
,0.05015,0.0393392,-0.00330329
Fri Sep 15 08:48:09 2023
,0.0490068,0.0368763,-0.00444897
Fri Sep 15 09:00:25 2023
,0.0534507,0.040928,-0.00427606
Fri Sep 15 09:00:25 2023
,0.0453452,0.0237236,-0.00930928
Fri Sep 15 09:00:25 2023
,0.0626011,0.0791806,-0.00705073
Fri Sep 15 09:00:26 2023
,0.04346,0.017626,-0.00126069
Fri Sep 15 09:00:28 2023
,0.045132,0.0404528,-0.0045428
20,0.0511283,0.0659989,-0.0112436
20,0.0463651,0.0315564,-0.00294652
15/09/2023 09:07:00,0.0540616,0.0464258,-0.00610865
15/09/2023 09:07:00,0.0519518,0.0453452,-0.00420419
15/09/2023 09:07:01,0.0514012,0.036879,-0.00618634
