Time,Data
Fri Sep 15 09:00:25 2023
,0.840824,-0.057584,0.532408
Fri Sep 15 09:00:26 2023
,0.835944,-0.062708,0.540704
20,5.43437,-1.37421,0.249856
20,0.267668,0.20374,0.948184
