Time,Data
Fri Sep 15 09:00:23 2023
,50.5335
Fri Sep 15 09:00:23 2023
,50.7231
Fri Sep 15 09:00:24 2023
,50.5837
Fri Sep 15 09:00:24 2023
,50.6227
Fri Sep 15 09:00:27 2023
,50.5475
Fri Sep 15 09:00:28 2023
,50.5949
20,50.6004
20,50.4332
